1000 332994
0 1 11
1 0 11
0 5 90
5 0 90
0 8 4
8 0 4
0 11 30
11 0 30
0 14 88
14 0 88
0 15 40
15 0 40
0 17 22
17 0 22
0 18 39
18 0 39
0 21 40
21 0 40
0 22 90
22 0 90
0 25 84
25 0 84
0 30 39
30 0 39
0 36 42
36 0 42
0 43 10
43 0 10
0 45 12
45 0 12
0 46 49
46 0 49
0 47 98
47 0 98
0 50 38
50 0 38
0 51 39
51 0 39
0 53 24
53 0 24
0 56 65
56 0 65
0 62 29
62 0 29
0 64 78
64 0 78
0 65 78
65 0 78
0 66 73
66 0 73
0 67 70
67 0 70
0 74 91
74 0 91
0 75 13
75 0 13
0 76 76
76 0 76
0 80 95
80 0 95
0 84 65
84 0 65
0 88 83
88 0 83
0 89 88
89 0 88
0 92 39
92 0 39
0 98 16
98 0 16
0 99 78
99 0 78
0 101 82
101 0 82
0 108 14
108 0 14
0 109 74
109 0 74
0 110 30
110 0 30
0 112 53
112 0 53
0 113 64
113 0 64
0 114 55
114 0 55
0 115 12
115 0 12
0 116 72
116 0 72
0 120 97
120 0 97
0 122 61
122 0 61
0 125 38
125 0 38
0 126 87
126 0 87
0 128 2
128 0 2
0 129 6
129 0 6
0 130 13
130 0 13
0 132 54
132 0 54
0 134 20
134 0 20
0 137 53
137 0 53
0 143 61
143 0 61
0 144 91
144 0 91
0 148 1
148 0 1
0 150 24
150 0 24
0 151 47
151 0 47
0 154 54
154 0 54
0 157 14
157 0 14
0 158 45
158 0 45
0 159 77
159 0 77
0 162 52
162 0 52
0 165 49
165 0 49
0 169 12
169 0 12
0 174 7
174 0 7
0 176 16
176 0 16
0 180 6
180 0 6
0 187 84
187 0 84
0 189 25
189 0 25
0 190 58
190 0 58
0 191 27
191 0 27
0 197 22
197 0 22
0 198 97
198 0 97
0 200 64
200 0 64
0 202 55
202 0 55
0 204 71
204 0 71
0 205 38
205 0 38
0 210 18
210 0 18
0 213 18
213 0 18
0 215 53
215 0 53
0 219 6
219 0 6
0 225 55
225 0 55
0 226 8
226 0 8
0 229 21
229 0 21
0 231 28
231 0 28
0 232 83
232 0 83
0 233 45
233 0 45
0 234 50
234 0 50
0 236 60
236 0 60
0 238 29
238 0 29
0 244 82
244 0 82
0 245 34
245 0 34
0 246 59
246 0 59
0 247 38
247 0 38
0 250 100
250 0 100
0 252 89
252 0 89
0 255 33
255 0 33
0 259 94
259 0 94
0 260 20
260 0 20
0 261 76
261 0 76
0 263 99
263 0 99
0 267 31
267 0 31
0 269 4
269 0 4
0 271 5
271 0 5
0 272 56
272 0 56
0 273 69
273 0 69
0 274 15
274 0 15
0 276 55
276 0 55
0 277 38
277 0 38
0 278 62
278 0 62
0 280 46
280 0 46
0 283 6
283 0 6
0 289 51
289 0 51
0 291 100
291 0 100
0 293 63
293 0 63
0 297 86
297 0 86
0 302 58
302 0 58
0 313 72
313 0 72
0 317 67
317 0 67
0 320 96
320 0 96
0 321 71
321 0 71
0 322 49
322 0 49
0 323 80
323 0 80
0 325 26
325 0 26
0 328 82
328 0 82
0 329 64
329 0 64
0 333 69
333 0 69
0 338 48
338 0 48
0 342 48
342 0 48
0 350 3
350 0 3
0 351 96
351 0 96
0 354 74
354 0 74
0 358 87
358 0 87
0 359 33
359 0 33
0 361 64
361 0 64
0 362 89
362 0 89
0 368 34
368 0 34
0 370 52
370 0 52
0 371 18
371 0 18
0 373 79
373 0 79
0 378 59
378 0 59
0 381 22
381 0 22
0 388 81
388 0 81
0 390 93
390 0 93
0 391 37
391 0 37
0 393 45
393 0 45
0 395 17
395 0 17
0 396 2
396 0 2
0 398 5
398 0 5
0 399 52
399 0 52
0 405 41
405 0 41
0 407 32
407 0 32
0 412 63
412 0 63
0 416 84
416 0 84
0 417 1
417 0 1
0 418 75
418 0 75
0 422 82
422 0 82
0 423 32
423 0 32
0 425 62
425 0 62
0 435 71
435 0 71
0 436 13
436 0 13
0 437 54
437 0 54
0 440 19
440 0 19
0 441 42
441 0 42
0 442 17
442 0 17
0 445 38
445 0 38
0 454 99
454 0 99
0 456 38
456 0 38
0 459 51
459 0 51
0 461 8
461 0 8
0 475 82
475 0 82
0 481 35
481 0 35
0 487 14
487 0 14
0 499 8
499 0 8
0 500 71
500 0 71
0 506 20
506 0 20
0 510 81
510 0 81
0 519 75
519 0 75
0 520 29
520 0 29
0 524 52
524 0 52
0 525 90
525 0 90
0 532 83
532 0 83
0 536 86
536 0 86
0 539 22
539 0 22
0 541 13
541 0 13
0 542 20
542 0 20
0 549 9
549 0 9
0 550 36
550 0 36
0 553 16
553 0 16
0 561 24
561 0 24
0 563 19
563 0 19
0 565 67
565 0 67
0 566 62
566 0 62
0 571 72
571 0 72
0 575 34
575 0 34
0 576 55
576 0 55
0 588 19
588 0 19
0 597 42
597 0 42
0 599 91
599 0 91
0 603 35
603 0 35
0 605 57
605 0 57
0 609 60
609 0 60
0 611 91
611 0 91
0 619 18
619 0 18
0 621 55
621 0 55
0 623 75
623 0 75
0 626 1
626 0 1
0 629 10
629 0 10
0 633 35
633 0 35
0 636 48
636 0 48
0 637 93
637 0 93
0 638 22
638 0 22
0 645 96
645 0 96
0 653 89
653 0 89
0 654 29
654 0 29
0 658 37
658 0 37
0 660 16
660 0 16
0 663 94
663 0 94
0 667 95
667 0 95
0 668 14
668 0 14
0 669 2
669 0 2
0 672 92
672 0 92
0 676 77
676 0 77
0 682 64
682 0 64
0 683 13
683 0 13
0 688 85
688 0 85
0 689 92
689 0 92
0 693 74
693 0 74
0 694 59
694 0 59
0 696 61
696 0 61
0 702 53
702 0 53
0 703 17
703 0 17
0 705 33
705 0 33
0 707 47
707 0 47
0 709 4
709 0 4
0 710 100
710 0 100
0 712 57
712 0 57
0 714 34
714 0 34
0 716 57
716 0 57
0 718 50
718 0 50
0 722 54
722 0 54
0 724 45
724 0 45
0 726 63
726 0 63
0 728 39
728 0 39
0 729 28
729 0 28
0 732 88
732 0 88
0 733 35
733 0 35
0 738 35
738 0 35
0 741 76
741 0 76
0 742 76
742 0 76
0 744 36
744 0 36
0 745 84
745 0 84
0 746 78
746 0 78
0 747 13
747 0 13
0 750 77
750 0 77
0 753 79
753 0 79
0 754 89
754 0 89
0 761 18
761 0 18
0 764 97
764 0 97
0 766 96
766 0 96
0 775 24
775 0 24
0 780 57
780 0 57
0 785 8
785 0 8
0 791 56
791 0 56
0 792 61
792 0 61
0 795 64
795 0 64
0 805 19
805 0 19
0 807 88
807 0 88
0 811 74
811 0 74
0 814 38
814 0 38
0 819 35
819 0 35
0 820 90
820 0 90
0 821 89
821 0 89
0 822 72
822 0 72
0 823 47
823 0 47
0 826 29
826 0 29
0 831 50
831 0 50
0 834 2
834 0 2
0 838 55
838 0 55
0 841 16
841 0 16
0 842 17
842 0 17
0 843 18
843 0 18
0 844 25
844 0 25
0 850 71
850 0 71
0 852 62
852 0 62
0 854 15
854 0 15
0 857 93
857 0 93
0 859 44
859 0 44
0 864 71
864 0 71
0 865 50
865 0 50
0 868 41
868 0 41
0 869 82
869 0 82
0 871 64
871 0 64
0 872 93
872 0 93
0 874 87
874 0 87
0 878 40
878 0 40
0 879 99
879 0 99
0 882 72
882 0 72
0 886 99
886 0 99
0 897 24
897 0 24
0 900 36
900 0 36
0 901 59
901 0 59
0 902 62
902 0 62
0 903 17
903 0 17
0 905 80
905 0 80
0 909 96
909 0 96
0 911 70
911 0 70
0 913 54
913 0 54
0 917 75
917 0 75
0 918 41
918 0 41
0 919 17
919 0 17
0 925 32
925 0 32
0 930 82
930 0 82
0 931 53
931 0 53
0 934 41
934 0 41
0 943 10
943 0 10
0 944 82
944 0 82
0 945 5
945 0 5
0 946 63
946 0 63
0 947 92
947 0 92
0 949 51
949 0 51
0 950 53
950 0 53
0 952 15
952 0 15
0 954 76
954 0 76
0 955 76
955 0 76
0 959 54
959 0 54
0 961 11
961 0 11
0 965 78
965 0 78
0 967 28
967 0 28
0 968 44
968 0 44
0 969 39
969 0 39
0 970 100
970 0 100
0 974 85
974 0 85
0 979 54
979 0 54
0 981 35
981 0 35
0 984 11
984 0 11
0 988 85
988 0 85
0 989 26
989 0 26
0 997 44
997 0 44
0 999 14
999 0 14
1 6 94
6 1 94
1 7 90
7 1 90
1 13 50
13 1 50
1 16 66
16 1 66
1 20 78
20 1 78
1 23 90
23 1 90
1 32 45
32 1 45
1 36 33
36 1 33
1 42 85
42 1 85
1 45 34
45 1 34
1 46 45
46 1 45
1 47 77
47 1 77
1 49 95
49 1 95
1 53 31
53 1 31
1 58 76
58 1 76
1 62 94
62 1 94
1 64 98
64 1 98
1 65 3
65 1 3
1 68 46
68 1 46
1 75 90
75 1 90
1 77 31
77 1 31
1 78 67
78 1 67
1 83 49
83 1 49
1 85 51
85 1 51
1 88 92
88 1 92
1 89 83
89 1 83
1 96 26
96 1 26
1 98 7
98 1 7
1 100 89
100 1 89
1 107 87
107 1 87
1 108 78
108 1 78
1 110 73
110 1 73
1 111 16
111 1 16
1 112 49
112 1 49
1 125 78
125 1 78
1 130 100
130 1 100
1 131 6
131 1 6
1 132 80
132 1 80
1 141 96
141 1 96
1 144 5
144 1 5
1 145 67
145 1 67
1 146 95
146 1 95
1 153 50
153 1 50
1 157 12
157 1 12
1 161 94
161 1 94
1 162 83
162 1 83
1 165 32
165 1 32
1 168 28
168 1 28
1 169 77
169 1 77
1 170 83
170 1 83
1 174 60
174 1 60
1 182 12
182 1 12
1 186 63
186 1 63
1 188 43
188 1 43
1 192 58
192 1 58
1 194 73
194 1 73
1 197 22
197 1 22
1 200 75
200 1 75
1 203 86
203 1 86
1 204 50
204 1 50
1 207 89
207 1 89
1 211 64
211 1 64
1 219 8
219 1 8
1 220 66
220 1 66
1 227 22
227 1 22
1 228 22
228 1 22
1 232 78
232 1 78
1 238 65
238 1 65
1 239 100
239 1 100
1 241 88
241 1 88
1 242 74
242 1 74
1 243 65
243 1 65
1 245 83
245 1 83
1 253 37
253 1 37
1 258 85
258 1 85
1 269 67
269 1 67
1 270 19
270 1 19
1 271 42
271 1 42
1 272 94
272 1 94
1 274 90
274 1 90
1 280 17
280 1 17
1 281 3
281 1 3
1 284 83
284 1 83
1 287 10
287 1 10
1 289 25
289 1 25
1 290 52
290 1 52
1 294 76
294 1 76
1 297 45
297 1 45
1 299 11
299 1 11
1 300 30
300 1 30
1 303 35
303 1 35
1 306 56
306 1 56
1 318 45
318 1 45
1 320 25
320 1 25
1 321 71
321 1 71
1 323 55
323 1 55
1 326 68
326 1 68
1 329 44
329 1 44
1 337 59
337 1 59
1 338 71
338 1 71
