37 188
0 14 41
0 19 12
0 23 41
0 24 11
0 30 35
1 7 1
1 9 53
1 16 35
1 19 49
1 24 35
1 28 36
1 33 65
2 10 10
2 12 58
2 15 35
2 27 42
3 6 33
3 11 60
3 13 64
3 15 22
3 31 51
4 16 50
4 22 40
5 6 48
5 8 47
5 14 6
5 15 8
5 22 44
5 26 6
5 28 25
5 31 16
6 16 26
6 25 61
6 3 33
6 5 48
6 8 25
6 35 4
7 1 1
7 21 37
7 36 45
8 5 47
8 6 25
8 9 53
8 20 44
8 29 5
8 34 62
9 1 53
9 8 53
9 14 53
9 18 61
9 23 9
9 33 58
9 34 13
10 2 10
10 23 32
10 33 51
11 3 60
11 13 4
11 17 23
11 19 2
11 20 2
12 2 58
12 20 3
12 23 49
12 32 63
13 3 64
13 11 4
13 17 17
13 21 69
13 27 41
14 5 6
14 9 53
14 0 41
14 18 43
14 25 52
14 27 35
14 29 17
14 31 50
15 2 35
15 3 22
15 5 8
15 17 27
16 1 35
16 4 50
16 6 26
16 19 37
16 34 39
17 11 23
17 13 17
17 15 27
17 21 26
17 31 2
17 32 59
18 9 61
18 14 43
18 19 29
18 28 65
18 33 70
18 35 70
19 0 12
19 1 49
19 11 2
19 16 37
19 18 29
19 28 13
19 30 9
20 8 44
20 11 2
20 12 3
20 27 17
20 29 22
20 33 26
21 7 37
21 13 69
21 17 26
21 23 17
21 32 28
22 4 40
22 5 44
23 0 41
23 9 9
23 10 32
23 12 49
23 21 17
23 24 7
23 26 12
23 32 63
24 0 11
24 1 35
24 23 7
24 35 37
25 14 52
25 6 61
25 33 7
25 36 11
26 5 6
26 23 12
27 2 42
27 13 41
27 14 35
27 20 17
27 30 57
27 33 18
28 1 36
28 5 25
28 18 65
28 19 13
28 32 66
29 8 5
29 14 17
29 20 22
29 32 25
30 0 35
30 19 9
30 27 57
30 34 29
31 3 51
31 5 16
31 14 50
31 17 2
32 12 63
32 17 59
32 21 28
32 23 63
32 28 66
32 29 25
32 36 32
33 1 65
33 9 58
33 10 51
33 18 70
33 20 26
33 25 7
33 27 18
33 34 27
33 35 4
34 8 62
34 9 13
34 16 39
34 30 29
34 33 27
35 6 4
35 18 70
35 24 37
35 33 4
36 7 45
36 25 11
36 32 32
37 72
0 24 1
0 19 1
1 7 1 
1 16 1
2 10 1
3 15 1
4 22 1
5 14 1
5 26 1
5 15 1
5 31 1
5 22 1
6 35 1
6 16 1
7 1 1 
8 29 1
9 23 1
9 34 1
10 2 1
10 23 1
11 19 1
11 20 1
11 13 1
12 20 1
13 11 1
14 5 1
14 29 1
15 5 1
15 3 1
16 6 1
16 1 1
17 31 1
18 19 1
19 11 1
19 30 1
19 0 1
19 28 1
19 18 1
20 11 1
20 12 1
20 27 1
21 23 1 
22 4 1
22 5 1
23 24 1
23 9 1
23 26 1
23 21 1
23 10 1
24 23 1
24 0 1
25 33 1
25 36 1
26 5 1
26 23 1
27 20 1
27 33 1
28 19 1
29 8 1
29 14 1
29 32 1
30 19 1
31 17 1
31 5 1
32 29 1
33 35 1
33 25 1
33 27 1
34 9 1
35 6 1
35 33 1
36 25 1
